,Date,Wind_m/s,Precipitation_mm,Wind_m/s1,Precipitation_mm1,Wind_m/s2,Precipitation_mm2,Wind_m/s3,Precipitation_mm3,Wind_m/s4,Precipitation_mm4,Wind_m/s5,Precipitation_mm5,Wind_m/s6,Precipitation_mm6,Wind_m/s7,Precipitation_mm7,Target: Max_temp
150,2017.12.05,6.4,0.3,6.4,0.6,3.8,0.2,2.8,0.1,3.8,0.0,7.7,23.5,5.3,3.2,3.4,0.0,3.3
151,2017.12.06,7.4,0.0,6.4,0.3,6.4,0.6,3.8,0.2,2.8,0.1,3.8,0.0,7.7,23.5,5.3,3.2,4.7
152,2017.12.07,4.6,0.0,7.4,0.0,6.4,0.3,6.4,0.6,3.8,0.2,2.8,0.1,3.8,0.0,7.7,23.5,7.6
153,2017.12.08,8.3,12.0,4.6,0.0,7.4,0.0,6.4,0.3,6.4,0.6,3.8,0.2,2.8,0.1,3.8,0.0,2.5
154,2017.12.09,8.4,1.0,8.3,12.0,4.6,0.0,7.4,0.0,6.4,0.3,6.4,0.6,3.8,0.2,2.8,0.1,2.5
155,2017.12.10,9.1,1.2,8.4,1.0,8.3,12.0,4.6,0.0,7.4,0.0,6.4,0.3,6.4,0.6,3.8,0.2,10.4
156,2017.12.11,8.9,5.9,9.1,1.2,8.4,1.0,8.3,12.0,4.6,0.0,7.4,0.0,6.4,0.3,6.4,0.6,13.7
157,2017.12.12,8.7,3.8,8.9,5.9,9.1,1.2,8.4,1.0,8.3,12.0,4.6,0.0,7.4,0.0,6.4,0.3,5.0
158,2017.12.13,5.8,2.0,8.7,3.8,8.9,5.9,9.1,1.2,8.4,1.0,8.3,12.0,4.6,0.0,7.4,0.0,5.5
159,2017.12.14,5.6,5.5,5.8,2.0,8.7,3.8,8.9,5.9,9.1,1.2,8.4,1.0,8.3,12.0,4.6,0.0,8.7
160,2017.12.15,7.0,27.6,5.6,5.5,5.8,2.0,8.7,3.8,8.9,5.9,9.1,1.2,8.4,1.0,8.3,12.0,5.5
161,2017.12.16,4.7,3.8,7.0,27.6,5.6,5.5,5.8,2.0,8.7,3.8,8.9,5.9,9.1,1.2,8.4,1.0,3.0
162,2017.12.17,5.5,0.0,4.7,3.8,7.0,27.6,5.6,5.5,5.8,2.0,8.7,3.8,8.9,5.9,9.1,1.2,0.6
163,2017.12.18,2.2,0.2,5.5,0.0,4.7,3.8,7.0,27.6,5.6,5.5,5.8,2.0,8.7,3.8,8.9,5.9,-1.0
